"Concepto","Economía"
"gestión de desempeño","n"
"gestión de empresas","n"
"gestión de equipos","n"
"gestión de facturación","n"
"gestión de indicadores","s"
"gestión de información","s"
"gestión de inventarios","n"
"gestión de inversiones","s"
"gestión de negocios","s"
"gestión de operaciones","n"
"gestión de pago","s"
"gestión de personas","n"
"gestión de planes","s"
"gestión de políticas","s"
"gestión de portafolio","s"
"gestión de portafolios","s"
"gestión de precios","s"
"gestión de presupuesto","s"
"gestión de presupuestos","s"
"gestión de procesos","s"
"gestión de productos","s"
"gestión de proveedores","n"
"gestión de proyectos","s"
"gestión de reclamos","n"
"gestión de recursos","s"
"gestión de riesgo","s"
"gestión de riesgos","s"
"gestión de rrhh","n"
"gestión de seguridad","n"
"gestión de talento","n"
"gestión de tesorería","s"
"gestión de venta","s"
"gestión de ventas","s"
"gestión del área","n"
"gestión del banco","s"
"gestión del cambio","s"
"gestión del conocimiento","n"
"gestión del control","s"
"gestión del desempeño","n"
"gestión del personal","n"
"gestión del portafolio","s"
"gestión del presupuesto","s"
"gestión del producto","n"
"gestión del rendimiento","s"
"gestión del riesgo","s"
"gestión del servicio","n"
"gestión del talento","n"
"gestión diaria","n"
"gestión dirigidos","n"
"gestión documentaria","n"
"gestión económica","s"
"gestión eficiente","s"
"gestión empresarial","n"
"gestión estratégica","s"
"gestión financiera","s"
"gestión humana","n"
"gestión institucional","s"
"gestión integral","n"
"gestión mensual","n"
"gestión operativa","n"
"gestión patrimonial","s"
"gestión por procesos","n"
"gestión presupuestal","n"
"gestión pública","s"
"gestión relacionados","n"
"gestión social","s"
"gestión y administración","s"
"gestión y análisis","s"
"gestión y control","s"
"gestión y desarrollo","s"
"gestión y evaluación","s"
"gestión y planeamiento","s"
"gestión y planeamiento financiero","s"
"gestión y seguimiento","s"
"gestión y supervisión","n"
"gestiona","n"
"gestionando","n"
"gestionar","n"
"gestionar","n"
"gestionar indicadores","s"
"gestionar proyectos","s"
"gestiones","n"
"gestiones administrativas","n"
"gestiones de cobranza","n"
"gestor","n"
"gestor comercial","n"
"gestor de portafolio","n"
"gestores","n"
"gg","b"
"giro","b"
"giro de cheques","n"
"giro de negocio","n"
"giro del negocio","n"
"giros","n"
"global","b"
"globales","b"
"gmail.com","b"
"gobernabilidad","s"
"gobierno","s"
"gobierno corporativo","s"
"gobierno nacional","s"
"gobiernos","s"
"gobiernos locales","s"
"gobiernos regionales","s"
"google","b"
"go-to-market","s"
"grado","b"
"grado académico","b"
"grado concluidos","b"
"grado de avance","b"
"grado de bachiller","b"
"grado en finanzas","s"
"grados","b"
"graduado","b"
"graduados","b"
"gráfico","b"
"gráficos","b"
"gran","b"
"grande","b"
"grandes","b"
"gratificación","b"
"gratificaciones","b"
"grato","b"
"gratuito","b"
"great","b"
"great place","b"
"gremios","b"
"growth","s"
"grupales","b"
"grupo","b"
"grupo de soluciones","b"
"grupo económico","s"
"grupo empresarial","s"
"grupo intercorp","s"
"grupo ransa","s"
"grupo romero","s"
"grupos","b"
"grupos de interés","n"
"grupos de trabajo","n"
"grupos económicos","s"
"grupos empresariales","n"
"gte","s"
"gubernamental","s"
"gubernamentales","s"
"guía","b"
"guiar","b"
"guías","b"
"guías de remisión","s"
"guste","b"
"gusto","b"
"h","b"
"h.","b"
"ha","b"
"ha encargado","b"
"haber","b"
"haber","b"
"haber estado","b"
"haberes","b"
"habiendo","b"
"habiéndola","b"
"habilidad","b"
"habilidad analítica","s"
"habilidad numérica","b"
"habilidades","b"
"habilidades comerciales","s"
"habilidades de comunicación","n"
"habilidades interpersonales","n"
"habilidades y competencias","n"
"habilitación","b"
"habilitado","b"
"hablado","b"
"hablar","b"
"hace","b"
"hace seguimiento","n"
"hacer","b"
"hacer","b"
"hacer análisis","s"
"hacer línea","n"
"hacer reportes","s"
"hacer seguimiento","s"
"hacerse","b"
"haciendo","b"
"haciendo seguimiento","n"
"haciendo uso","b"
"hagan","b"
"hallazgos","b"
"han","b"
"hará","b"
"hay","b"
"haya","b"
"hayan","b"
"head","b"
"headcount","b"
"hecho","b"
"hechos","b"
"hechos de importancia","n"
"help","b"
"herramienta","b"
"herramientas","n"
"herramientas analíticas","s"
"herramientas bancarias","s"
"herramientas de análisis","s"
"herramientas de control","s"
"herramientas de explotación","n"
"herramientas de gestión","s"
"herramientas de información","s"
"herramientas de medición","s"
"herramientas de trabajo","s"
"herramientas de venta","n"
"herramientas financieras","s"
"herramientas informáticas","s"
"herramientas necesarias","n"
"herramientas tecnológicas","s"
"herramientas y metodologías","n"
"herramientas y servicios","n"
"herramientas y servicios corporativos","n"
"hidrocarburos","b"
"hijos","b"
"hipotecario","b"
"hipotecarios","b"
"hipótesis","b"
"historial","b"
"histórica","b"
"históricas","b"
"histórico","b"
"históricos","b"
"hoc","b"
"hogares","b"
"hoja","b"
"hoja de análisis","s"
"hoja de cálculo","s"
"hoja de ruta","s"
"hoja de vida","b"
"hojas","b"
"hojas de cálculo","s"
"holding","n"
"homologación","b"
"homónimos","b"
"homónimos globales","b"
"honestidad","b"
"honestidad y valores","b"
"honorarios","b"
"hora","n"
"horario","n"
"horario","n"
"horario completo","n"
"horario de lunes","n"
"horario de oficina","n"
"horario de trabajo","n"
"horarios","n"
"horas","n"
"horas efectivas","n"
"horas extras","n"
"horas lectivas","n"
"horas semanales","n"
"hospitales","n"
"hoteles","b"
"how","b"
"hq","b"
"hrs","b"
"http","b"
"https","b"
"huancayo","b"
"hub","b"
"humana","b"
"humano","b"
"humanos","b"
"hyperion","b"
"i","b"
"i.","b"
"ibm","b"
"ica","b"
"ida","b"
"idea","b"
"ideal","b"
"ideas","b"
"ideas y recomendaciones","n"
"identifica","b"
"identifica oportunidades","n"
"identificación","b"
"identificación","b"
"identificación de clientes","n"
"identificación de mejoras","n"
"identificación de oportunidades","n"
"identificación de riesgos","s"
"identificación y evaluación","s"
"identificadas","b"
"identificados","b"
"identificando","b"
"identificando oportunidades","b"
"identificando variaciones","n"
"identificar","b"
"identificar","b"
"identificar áreas","n"
"identificar desviaciones","s"
"identificar mejoras","n"
"identificar necesidades","n"
"identificar oportunidades","n"
"identificar oportunidades","n"
"identificar riesgos","s"
"identificar tendencias","s"
"identify","b"
"identifying","b"
"idioma","b"
"idiomas","b"
"idoneidad","b"
"idóneo","b"
"ifrs","s"
"igv","b"
"ii","b"
"imagen","b"
"imagen institucional","n"
"impactan","b"
"impactar","b"
"impacten","b"
"impacto","b"
"impacto ambiental","s"
"impacto e influencia","n"
"impacto económico","s"
"impacto financiero","s"
"impacto positivo","n"
"impacto regulatorio","s"
"impactos","b"
"impactos de políticas","s"
"implantación","b"
"implementa","b"
"implementacion","b"
"implementación","b"
"implementación","b"
"implementación de acciones","n"
"implementación de actividades","n"
"implementación de campañas","n"
"implementación de controles","n"
"implementación de estrategias","s"
"implementación de herramientas","n"
"implementación de indicadores","s"
"implementación de medidas","s"
"implementación de mejoras","n"
"implementación de modelos","s"
"implementación de planes","s"
"implementación de políticas","s"
"implementación de procesos","s"
"implementación de programas","s"
"implementación de propuestas","n"
"implementación de proyectos","s"
"implementación de sistemas","n"
"implementación del modelo","s"
"implementación del plan","s"
"implementación del proyecto","s"
"implementación del sistema","n"
"implementación oportuna","n"
"implementación y control","s"
"implementación y desarrollo","s"
"implementación y ejecución","n"
"implementación y mantenimiento","n"
"implementación y seguimiento","n"
"implementación y supervisión","n"
"implementaciones","b"
"implementadas","b"
"implementado","b"
"implementados","b"
"implementando","b"
"implementar","b"
"implementar","b"
"implementar acciones","n"
"implementar campañas","n"
"implementar estrategias","s"
"implementar herramientas","n"
"implementar indicadores","s"
"implementar mejoras","n"
"implementar planes","s"
"implementar políticas","s"
"implementar procesos","n"
"implementar programas","s"
"implementar proyectos","s"
"implementen","b"
"implica","b"
"implicancias","b"
"implique","b"
"impliquen","b"
"importación","b"
"importaciones","s"
"importaciones y exportaciones","s"
"importadores","s"
"importados","s"
"importancia","b"
"importante","b"
"importantes","b"
"importe","b"
"imprescindible","b"
"impresión","b"
"imprimir","b"
"impuesto","s"
"impuestos","s"
"impuestos mensuales","s"
"impulsando","b"
"impulsar","b"
"impulso","b"
"imputación","b"
"in","b"
"incentivar","b"
"incentiven","b"
"incentivos","b"
"incentivos por productividad","s"
"incidencia","b"
"incidencias","b"
"incidentes","b"
"incluidas","b"
"incluido","b"
"incluidos","b"
"incluir","b"
"inclusión","b"
"inclusión financiera","s"
"incluya","b"
"incluye","b"
"incluye coordinaciones","b"
"incluye prácticas","b"
"incluyen","b"
"incluyendo","b"
"incluyendo prácticas","b"
"incobrables","b"
"incompatibilidades","b"
"inconvenientes","b"
"incorporación","b"
"incorporación al cuerpo","b"
"incorporar","b"
"incorporarse","b"
"incorporen","b"
"incrementar","b"
"incrementen","b"
"incremento","b"
"incremento de ventas","b"
"incrementos","b"
"incubación","b"
"incumplimiento","b"
"incumplimiento de condiciones","n"
"incumplimiento de obligaciones","n"
"incurso","b"
"indagaciones","b"
"indeci","s"
"indecopi","s"
"independiente","b"
"independientes","b"
"indeterminado","b"
"index.php","b"
"indica","b"
"indicaciones","b"
"indicadas","b"
"indicador","s"
"indicadores","s"
"indicadores asignados","s"
"indicadores comerciales","s"
"indicadores de calidad","s"
"indicadores de control","s"
"indicadores de desempeño","s"
"indicadores de eficiencia","s"
"indicadores de gestión","s"
"indicadores de medición","s"
"indicadores de negocio","s"
"indicadores de performance","s"
"indicadores de procesos","s"
"indicadores de productividad","s"
"indicadores de rentabilidad","s"
"indicadores de riesgo","s"
"indicadores de riesgos","s"
"indicadores de seguimiento","s"
"indicadores de venta","s"
"indicadores de ventas","s"
"indicadores del área","s"
"indicadores del negocio","s"
"indicadores económicos","s"
"indicadores establecidos","s"
"indicadores financieros","s"
"indicadores internos","s"
"indicadores logísticos","s"
"indicadores mensuales","s"
"indicadores operativos","s"
"indicadores relacionados","s"
"indicadores y metas","s"
"indicadores y reportes","s"
"indicando","b"
"indicar","b"
"indicar","b"
"índice","b"
"índice de morosidad","s"
"índices","b"
"indicios","b"
"indique","b"
"indiquen","b"
"indirecta","b"
"indirectos","b"
"indispensable","b"
"indispensable","b"
"indispensables","b"
"individual","b"
"individuales","b"
"índole","b"
"inducción","b"
"industria","n"
"industrial","n"
"industriales","n"
"industrias","n"
"industry","n"
"inei","s"
"influencia","n"
"influenciar","n"
"influyen","n"
"infocorp","b"
"informa","b"
"informacion","b"
"información","b"
"información a clientes","n"
"información a nivel","n"
"información a través","n"
"información actualizada","n"
"información adicional","n"
"información al cliente","n"
"información al sistema","n"
"información comercial","s"
"información complementaria","n"
"información confiable","n"
"información contable","s"
"información contenida","n"
"información cualitativa","s"
"información cuantitativa","s"
"información de acuerdo","n"
"información de base","s"
"información de clientes","n"
"información de costos","s"
"información de fuentes","n"
"información de funcionarios","n"
"información de gestión","s"
"información de manera","n"
"información de mercado","s"
"información de negocios","n"
"información de productos","n"
"información de proyectos","s"
"información de resultados","s"
"información de sap","s"
"información de terminales","n"
"información de ventas","s"
"información del área","n"
"información del cierre","n"
"información del cliente","n"
"información del mercado","s"
"información del presupuesto","s"
"información del sistema","n"
"información disponible","n"
"información e investigación","s"
"información económica","s"
"información en campo","n"
"información enviada","n"
"información especializada","n"
"información financiera","s"
"información generada","n"
"información general","n"
"información gerencial","n"
"información histórica","n"
"información interna","n"
"información mensual","n"
"información necesaria","n"
"información obtenida","n"
"información oportuna","n"
"información para reportes","n"
"información pertinente","n"
"información por parte","n"
"información presentada","n"
"información presupuestal","s"
"información primaria","n"
"información proveniente","n"
"información pública","s"
"información recibida","n"
"información recogida","n"
"información referente","n"
"información registrada","n"
"información relacionada","n"
"información relativa","n"
"información relevante","n"
"información remitida","n"
"información requerida","n"
"información secundaria","n"
"información sobre clientes","n"
"información solicitada","n"
"información y análisis","s"
"información y comunicación","n"
"información y documentación","n"
"información y entretenimiento","n"
"informaciones","b"
"informada","b"
"informado","b"
"informados","b"
"informando","b"
"informar","b"
"informar al gerente","b"
"informática","b"
"informáticas","b"
"informático","b"
"informáticos","b"
"information","b"
"informativas","b"
"informativo","b"
"informativos","b"
"informe","b"
"informe anual","s"
"informe de auditoría","s"
"informe de evaluación","s"
"informe de gestión","s"
"informe final","n"
"informe financiero","s"
"informe mensual","n"
"informe semanal","n"
"informes","s"
"informes comerciales","s"
"informes correspondientes","s"
"informes de análisis","s"
"informes de auditoría","n"
"informes de cierre","n"
"informes de control","s"
"informes de ejecución","n"
"informes de evaluación","s"
"informes de gestión","s"
"informes de investigación","s"
"informes de resultados","s"
"informes de seguimiento","n"
"informes de tendencia","s"
"informes de ventas","s"
"informes del área","n"
"informes económicos","s"
"informes estadísticos","s"
"informes financieros","s"
"informes gerenciales","n"
"informes mensuales","n"
"informes o propuestas","n"
"informes relacionados","n"
"informes requeridos","n"
"informes técnicos","n"
"informes trimestrales","n"
"informes y presentaciones","n"
"informes y reportes","n"
"infracciones","n"
"infracciones por incumplimiento","n"
"infraestructura","n"
"ing","b"
"ingenieria","n"
"ingeniería","n"
"ingeniería administrativa","n"
"ingeniería civil","n"
"ingeniería comercial","n"
"ingeniería de sistemas","n"
"ingeniería económica","s"
"ingeniería empresarial","n"
"ingeniería industrial","n"
"ingeniería o derecho","n"
"ingeniería y tecnología","n"
"ingeniero","n"
"ingeniero industrial","n"
"ingles","s"
"inglés","s"
"ingles a nivel","s"
"inglés a nivel","s"
"ingles básico","s"
"inglés básico","s"
"inglés en nivel","s"
"inglés intermedio-avanzado","s"
"ingresa","b"
"ingresadas","b"
"ingresados","b"
"ingresan","b"
"ingresando","b"
"ingresar","b"
"ingresar al sistema","b"
"ingresen","b"
"ingreso","b"
"ingreso a planilla","b"
"ingreso al sistema","b"
"ingreso de datos","b"
"ingreso de facturas","b"
"ingreso de información","b"
"ingreso directo","b"
"ingreso y salida","b"
"ingresos","b"
"ingresos diarios","b"
"ingresos y control","s"
"ingresos y egresos","s"
"ingresos y gastos","s"
"ingresos y salidas","s"
"inherentes","b"
"inicial","b"
"iniciales","b"
"iniciar","b"
"iniciativa","b"
"iniciativas","b"
"iniciativas comerciales","s"
"iniciativas de mejora","n"
"iniciativas estratégicas","s"
"iniciativas y proyectos","s"
"inicio","b"
"inmediata","b"
"inmediatas","b"
"inmediato","b"
"inmobiliaria","b"
"inmobiliarias","b"
"inmobiliario","b"
"inmobiliarios","b"
"inmueble","b"
"inmuebles","b"
"innovación","s"
"innovaciones","s"
"innovadora","s"
"innovadoras","s"
"innovation","s"
"input","s"
"inputs","s"
"inquietudes","n"
"inscribirse","n"
"inscripción","n"
"inscripciones","n"
"insight","b"
"insights","b"
"inspección","b"
"inspecciones","b"
"instalación","b"
"instalaciones","n"
"instalada","n"
"instancia","n"
"instancias","n"
"instancias correspondientes","n"
"institución","b"
"institucional","b"
"institucionales","b"
"instituciones","b"
"instituciones bancarias","s"
"instituciones educativas","s"
"instituciones financieras","s"
"instituciones internacionales","s"
"instituciones públicas","s"
"instituciones similares","n"
"institute","b"
"instituto","b"
"institutos","b"
"instrucción","b"
"instrucciones","b"
"instrucciones de clientes","n"
"instructivos","b"
"instruir","n"
"instrumentos","b"
"instrumentos de deuda","s"
"instrumentos de gestión","s"
"instrumentos de inversión","s"
"instrumentos de renta","s"
"instrumentos derivados","s"
"instrumentos financieros","s"
"insumo","s"
"insumos","s"
"intangibles","b"
"integra","b"
"integración","b"
"integrada","b"
"integrado","b"
"integrados","b"
"integral","b"
"integrales","s"
"integrante","b"
"integrantes","b"
"integrar","b"
"integrarse","b"
"integridad","b"
"intelectual","b"
"inteligence","b"
"inteligencia","b"
"inteligencia comercial","s"
"inteligencia competitiva","n"
"inteligencia de mercado","s"
"inteligencia de negocio","s"
"inteligencia de negocios","s"
"intelligence","b"
"intendencia","b"
"inter","b"
"interacción","b"
"interacciones","b"
"interactúa","b"
"interactuar","b"
"interactuar con clientes","n"
"interbancarias","s"
"interbank","s"
"intercambio","b"
"intercambio de información","n"
"intercorp","s"
"interés","s"
"interés en temas","n"
"interés y comisiones","n"
"interés y comisiones cobradas","n"
"interesadas","b"
"interesado","b"
"interesados","b"
"intereses","s"
"interinstitucional","s"
"interinstitucionales","s"
"interior","n"
"interior del país","n"
"interlocutor","b"
"intermediación","b"
"intermediarios","b"
"intermedio","b"
"intermedio-","b"
"intermedio de excel","s"
"intermedio de inglés","s"
"intermedio del idioma","s"
"intermedio deseable","n"
"intermedio y excel","s"
"intermedio-avanzado","n"
"intermedios","b"
"interna","n"
"internacional","s"
"internacionales","s"
"internal","b"
"internas","n"
"international","s"
"internet","n"
"internet a nivel","n"
"interno","n"
"internos","n"
"interpersonales","b"
"interpretación","b"
"interpretación de estados","s"
"interpretación de información","s"
"interpretación y análisis","s"
"interpretación y emisión","n"
"interpretación y emisión oportuna","n"
"interpretar","b"
"interrelación","b"
"interrelacionarse","b"
"intervención","b"
"intervenciones","b"
"intervienen","b"
"into","b"
"intranet","b"
"introducción","b"
"inusual","b"
"inusuales","b"
"inventario","b"
"inventario físico","b"
"inventarios","b"
"inventarios físicos","b"
"inventarios y gestión","n"
"inversion","s"
"inversión","s"
"inversión de acuerdo","s"
"inversión privada","s"
"inversión pública","s"
"inversión y financiamiento","s"
"inversiones","s"
"inversiones de bienes","s"
"inversiones de capital","s"
"inversiones financieras","s"
"inversiones inmobiliarias","s"
"inversiones y análisis","s"
"inversiones y gastos","s"
"inversionista","s"
"inversionistas","s"
"inversionistas institucionales","s"
"inversores","s"
"invertir","s"
"investiga","s"
"investigacion","s"
"investigación","s"
"investigación","s"
"investigación cualitativa","s"
"investigación de instituciones","s"
"investigación de mercado","s"
"investigación de mercados","s"
"investigación del mercado","s"
"investigación económica","s"
"investigación en temas","s"
"investigación social","s"
"investigación sólido","n"
"investigación y análisis","s"
"investigación y desarrollo","s"
"investigaciones","s"
"investigaciones de mercado","s"
"investigador","s"
"investigadores","s"
"investigar","s"
"investigar","s"
"investment","s"
"invita","n"
"invitamos","n"
"involucra","n"
"involucradas","n"
"involucrado","n"
"involucrados","n"
"involucramiento","n"
"involucran","n"
"involucrarse","n"
"involucren","n"
"ir","b"
"irregulares","n"
"irregularidades","n"
"irs","b"
"is","b"
"isidro","b"
"iso","b"
"issues","b"
"ítems","b"
"iv","b"
"j","b"
"jefatura","n"
"jefatura del área","n"
"jefatura directa","n"
"jefatura inmediata","n"
"jefaturas","b"
"jefe","b"
"jefe administrativo","n"
"jefe comercial","s"
"jefe corporativo","n"
"jefe de administración","s"
"jefe de almacén","n"
"jefe de análisis","s"
"jefe de área","n"
"jefe de canales","n"
"jefe de categoría","n"
"jefe de cobranzas","s"
"jefe de compras","n"
"jefe de contabilidad","s"
"jefe de control","s"
"jefe de créditos","s"
"jefe de departamento","n"
"jefe de desarrollo","s"
"jefe de equipo","n"
"jefe de finanzas","s"
"jefe de gestión","s"
"jefe de inteligencia","n"
"jefe de logística","s"
"jefe de marca","n"
"jefe de marketing","n"
"jefe de mesa","n"
"jefe de negocios","s"
"jefe de operaciones","n"
"jefe de planeamiento","s"
"jefe de planificación","s"
"jefe de producto","s"
"jefe de proyectos","s"
"jefe de recursos","s"
"jefe de riesgo","s"
"jefe de tesoreria","n"
"jefe de tesorería","s"
"jefe de tienda","n"
"jefe de ventas","s"
"jefe del área","n"
"jefe directo","n"
"jefe inmediato","n"
"jefe o gerente","n"
"jefe zonal","n"
"jefes","b"
"jefes de capacitación","n"
"jefes de grupo","n"
"jefes de producto","n"
"jesús","b"
"jornada","b"
"jornada parcial","b"
"jornadas","b"
"joven","b"
"jóvenes","b"
"jóvenes profesionales","b"
"jr","b"
"jr.","b"
"juan","b"
"juan de lurigancho","b"
"judicial","b"
"judiciales","b"
"juego","b"
"junín","b"
"junior","b"
"junta","b"
"junta general","b"
"junto","b"
"jurada","b"
"juradas","b"
"jurídica","b"
"jurídicas","b"
"jurídicos","b"
"k","b"
"kam","b"
"key","b"
"knowledge","n"
"kpi´s","b"
"kpis","b"
"l","b"
"labor","b"
"labor similar","b"
"laborado","b"
"laborado en empresas","n"
"laboral","b"
"laborales","b"
"laborando","b"
"laborar","b"
"laborar a tiempo","b"
"laborar de lunes","b"
"laborar en lima","n"
"laboratorio","n"
"labores","n"
"labores administrativas","n"
"labores afines","n"
"labores comerciales","s"
"labores de análisis","s"
"labores de gestión","s"
"labores de supervisión","n"
"labores diarias","n"
"labores operativas","n"
"labores propias","n"
"labores relacionadas","n"
"labores similares","n"
"labores vinculadas","n"
"language","b"
"lanzamiento","b"
"lanzamiento de campañas","n"
"lanzamiento de productos","n"
"lanzamientos","b"
"largo","b"
"latina","b"
"latinoamérica","b"
"lavado","b"
"lavado de activos","n"
"lavado de dinero","n"
"leader","b"
"leadership","b"
"leads","b"
"lean","b"
"leasing","b"
"leasings","b"
"lecciones","b"
"lecciones aprendidas","b"
"lectivas","b"
"lectura","b"
"lecturas","b"
"leer","b"
"legajos","b"
"legal","n"
"legales","n"
"legislación","n"
"legislación laboral","n"
"legislación tributaria","n"
"legislación vigente","n"
"legislativo","n"
"leído","n"
"lending","n"
"lenguaje","n"
"lenguaje de programación","s"
"lenguajes","n"
"lenguajes de programación","s"
"letras","n"
"letras de cambio","n"
"levantamiento","n"
"levantamiento de información","n"
"levantamiento de procesos","n"
"levantamientos","n"
"levantar","n"
"levantar información","n"
"level","n"
"ley","b"
"ley de bancos","s"
"ley de contrataciones","b"
"ley de títulos","b"
"ley del servicio","b"
"ley general","b"
"leyes","n"
"liberación","n"
"liberaciones","n"
"libre","n"
"libres","n"
"libro","n"
"libros","n"
"libros contables","n"
"licencia","n"
"licenciado","n"
"licenciado en administración","n"
"licencias","n"
"licitación","n"
"licitaciones","b"
"licitaciones públicas","b"
"lider","b"
"líder","b"
"lidera","b"
"liderado","b"
"liderando","b"
"liderando equipos","n"
"liderando proyectos","s"
"liderar","b"
"liderar equipos","n"
"liderar proyectos","s"
"liderazgo","b"
"líderes","b"
"líderes del perú","n"
"lima","b"
"lima metropolitana","b"
"lima y provincia","b"
"lima y provincias","b"
"límite","b"
"limites","b"
"límites","b"
"límites de inversión","s"
"límites de riesgos","s"
"límites del monto","n"
"límites establecidos","n"
"límites internos","n"
"límites máximos","n"
"límites presupuestarios","s"
"limpieza","b"
"line","b"
"linea","b"
"línea","b"
"línea de carrera","n"
"línea de crédito","s"
"línea de negocio","n"
"línea de productos","n"
"lineamientos","n"
"lineamientos corporativos","n"
"lineamientos del grupo","n"
"lineamientos del negocio","s"
"lineamientos establecidos","n"
"lineamientos estratégicos","s"
"lineamientos y directivas","n"
"lineamientos y niveles","n"
"lineamientos y políticas","s"
"lineas","n"
"líneas","n"
"líneas de carrera","n"
"líneas de crédito","s"
"líneas de créditos","s"
"líneas de financiamiento","s"
"líneas de negocio","s"
"líneas de negocios","s"
"líneas de producto","s"
"líneas de productos","s"
"link","n"
"linkedin","b"
"liquidación","n"
"liquidación de beneficios","n"
"liquidación de impuestos","n"
"liquidación de operaciones","n"
"liquidaciones","n"
"liquidaciones de beneficios","n"
"liquidar","n"
"liquidez","s"
"liquidez y rentabilidad","s"
"líquidos","n"
"list","n"
"lista","n"
"listado","n"
"listados","n"
"literatura","n"
"literatura teórica","n"
"llamadas","n"
"llamadas telefónicas","n"
"llamar","n"
"llegada","n"
"llegar","n"
"llegue","n"
"llenado","n"
"llenado de rating","n"
"llenar","n"
"llevado","n"
"llevando","n"
"llevando a cabo","n"
"llevar","n"
"llevar","n"
"llevar a cabo","n"
"llevar control","n"
"llevará","n"
"llevará a cabo","n"
"lleve","n"
"lleven","n"
"lleven a cabo","n"
"local","n"
"locales","n"
"localidad","n"
"localidades","n"
"locatarios","n"
"lógica","b"
"lógicas","b"
"lógico","b"
"logistica","b"
"logística","s"
"logística interna","s"
"logísticas","s"
"logístico","s"
"logísticos","s"
"logrando","b"
"lograr","b"
"logre","b"
"logro","b"
"logro de metas","b"
"logro de objetivos","b"
"logro de resultados","b"
"logros","b"
"lotes","b"
"lucro","b"
"lugar","b"
"lugar","b"
"lugar de prestación","b"
"lugar de trabajo","b"
"lugar de trabajo","b"
"lunes","b"
"lunes a sábados","b"
"lunes a viernes","b"
"lurigancho","b"
"lurín","b"
"l-v","b"
"m","b"
"m.","b"
"macro","s"
"macroeconomía","s"
"macroeconómica","s"
"macroeconómicas","s"
"macroeconómico","s"
"macroeconómicos","s"
"macros","s"
"macros en excel","s"
"macros y tablas","s"
"macros y tablas dinámicas","s"
"maestría","s"
"maestría en administración","s"
"maestría en economía","s"
"maestría en finanzas","s"
"maestría en gestión","s"
"maestría en temas","n"
"maestría o especialización","n"
"maestrías","n"
"maestro","b"
"maestro de clientes","n"
"mail","b"
"mailing","n"
"malas","n"
"mall","n"
"mallas","n"
"management","n"
"manager","b"
"manager (","n"
"managing","n"
"mandatos","b"
"mando","b"
"maneja","b"
"manejado","b"
"manejan","b"
"manejando","b"
"manejando equipos","n"
"manejando indicadores","s"
"manejando procesos","n"
"manejando temas","n"
"manejar","b"
"manejar","b"
"manejar cartera","s"
"manejar indicadores","s"
"manejar registro","n"
"maneje","b"
"manejo","b"
"manejo a nivel","n"
"manejo adecuado","n"
"manejo administrativo","n"
"manejo básico","n"
"manejo de access","s"
"manejo de análisis","s"
"manejo de base","s"
"manejo de bases","s"
"manejo de bloomberg","s"
"manejo de caja","s"
"manejo de cartera","s"
"manejo de clientes","n"
"manejo de conceptos","s"
"manejo de costos","s"
"manejo de cuentas","s"
"manejo de datos","s"
"manejo de equipos","n"
"manejo de erp","s"
"manejo de erps","s"
"manejo de excel","s"
"manejo de flujo","s"
"manejo de herramientas","n"
"manejo de indicadores","s"
"manejo de información","s"
"manejo de ingles","s"
"manejo de inglés","s"
"manejo de internet","s"
"manejo de inventarios","s"
"manejo de macros","s"
"manejo de microsoft","s"
"manejo de modelos","s"
"manejo de objeciones","n"
"manejo de oracle","n"
"manejo de paquetes","s"
"manejo de personal","n"
"manejo de planillas","n"
"manejo de presupuesto","s"
"manejo de presupuestos","s"
"manejo de procesos","s"
"manejo de productos","n"
"manejo de programas","s"
"manejo de proyectos","s"
"manejo de recursos","s"
"manejo de redes","s"
"manejo de relaciones","n"
"manejo de reportes","n"
"manejo de sap","n"
"manejo de sistema","n"
"manejo de sistemas","n"
"manejo de situaciones","n"
"manejo de software","s"
"manejo de sql","n"
"manejo de tablas","s"
"manejo de tesorería","s"
"manejo de word","s"
"manejo del flujo","s"
"manejo del idioma","s"
"manejo del inglés","s"
"manejo del sap","s"
"manejo del sistema","s"
"manejo eficiente","s"
"manejo financiero","s"
"manejo y administración","s"
"manejo y análisis","s"
"manejo y control","s"
"manera","b"
"manera adecuada","b"
"manera conjunta","n"
"manera continua","n"
"manera diaria","n"
"manera directa","n"
"manera eficiente","s"
"manera integral","n"
"manera mensual","n"
"manera objetiva","n"
"manera oportuna","n"
"manera periódica","n"
"manera permanente","n"
"manera proactiva","n"
"manera semanal","n"
"mano","b"
"mano con clientes","b"
"mano de obra","n"
"mantención","n"
"mantención de cuentas","n"
"mantener","b"
"mantener","b"
"mantener al día","b"
"mantener comunicación","n"
"mantener contacto","n"
"mantener relaciones","n"
"mantenerlos","b"
"mantenerlos actualizados","n"
"mantenerse","b"
"mantenerse informado","n"
"mantenga","b"
"mantengan","b"
"manteniendo","b"
"mantenimiento","b"
"mantenimiento","b"
"mantenimiento de cartera","s"
"mantenimiento de clientes","n"
"mantenimiento de cuentas","s"
"mantenimiento de modelos","s"
"mantenimiento de relaciones","n"
"mantenimiento del sistema","n"
"mantenimiento preventivo","n"
"mantenimiento y actualización","n"
"mantiene","b"
"manual","b"
"manuales","b"
"manuales de funciones","n"
"manuales de procedimientos","n"
"manuales y procedimientos","n"
"manufactura","n"
"mañanas","b"
"mapa","b"
"mapas","b"
"mapear","b"
"mapeo","b"
"mapeo de procesos","n"
